"","Diagnostic test","Border screening 1 and 2","Quarantine and random screening","deCODE Genetics screening"
"15.06","14","849","","13"
"16.06","162","851","","14"
"17.06","68","632","",""
"18.06","36","702","","3"
"19.06","97","735","","12"
"20.06","64","961","",""
"21.06","10","762","","7"
"22.06","34","843","","10"
"23.06","73","1413","","13"
"24.06","37","511","","10"
"25.06","130","856","","6"
"26.06","237","1022","","14"
"27.06","70","969","","101"
"28.06","16","1365","","234"
"29.06","56","1416","","408"
"30.06","263","1313","","465"
"01.07","178","733","","92"
"02.07","88","1783","","73"
"03.07","138","1490","","259"
"04.07","151","1799","","1"
"05.07","23","1941","","0"
"06.07","127","1319","","58"
"07.07","180","1685","","44"
"08.07","125","1341","","6"
"09.07","141","2159","","0"
"10.07","195","1256","","16"
"11.07","63","2040","","0"
"12.07","31","2118","","0"
"13.07","78","1875","","11"
"14.07","140","2018","","12"
"15.07","132","1918","","5"
"16.07","120","1046","","1"
"17.07","179","1460","","10"
"18.07","64","1386","","0"
"19.07","39","1190","","0"
"20.07","21","1608","","5"
"21.07","64","811","","2"
"22.07","49","2122","","0"
"23.07","53","1578","","14"
"24.07","59","1635","","10"
"25.07","46","1679","","0"
"26.07","18","1316","","0"
"27.07","34","1547","","3"
"28.07","118","1686","","6"
"29.07","155","1538","","197"
"30.07","265","1350","","873"
"31.07","489","1187","","835"
"01.08","271","2362","","555"
"02.08","291","2035","","914"
"03.08","233","2268","","534"
"04.08","436","1131","","179"
"05.08","498","2154","","327"
"06.08","759","1924","","318"
"07.08","581","2430","","13"
"08.08","394","2203","","2"
"09.08","173","2929","","59"
"10.08","289","3105","","56"
"11.08","667","2115","","523"
"12.08","695","2488","","27"
"13.08","315","2473","","13"
"14.08","501","2805","","36"
"15.08","347","3191","","0"
"16.08","158","2001","","0"
"17.08","383","2287","","25"
"18.08","465","2678","","39"
"19.08","419","2075","","36"
"20.08","578","2699","","13"
"21.08","351","1815","","237"
"22.08","250","1439","","22"
"23.08","291","1365","","0"
"24.08","556","1750","","46"
"25.08","800","1979","","71"
"26.08","600","1682","","167"
"27.08","710","1116","","13"
"28.08","491","1283","","172"
"29.08","360","1079","",""
"30.08","217","1477","",""
"31.08","559","1305","","116"
"01.09","581","1042","","12"
"02.09","518","1372","","91"
"03.09","549","906","","8"
"04.09","576","1160","","83"
"05.09","343","1149","","6"
"06.09","123","1250","","0"
"07.09","708","821","","18"
"08.09","702","688","",""
"09.09","516","1068","","8"
"10.09","536","934","","26"
"11.09","461","725","","128"
"12.09","210","755","","124"
"13.09","146","880","","2"
"14.09","479","1056","",""
"15.09","582","371","57","135"
"16.09","578","770","23","646"
"17.09","998","905","457","1649"
"18.09","1186","365","828","1250"
"19.09","1077","1058","67","260"
"20.09","1134","759","240","138"
"21.09","1872","461","177","1797"
"22.09","2798","640","436","1291"
"23.09","1225","860","422","426"
"24.09","1365","494","689","176"
"25.09","1205","693","892","140"
"26.09","648","707","205","121"
"27.09","602","629","154","9"
"28.09","1038","564","379","347"
"29.09","1222","526","413","68"
"30.09","1115","618","286","26"
"1.10","908","791","212","149"
"2.10","1063","355","382","11"
"3.10","801","567","182","145"
"4.10","928","912","158","2"
"5.10","1763","692","263","509"
"6.10","2005","300","347","34"
"7.10","2299","771","276","16"
"8.10","1714","654","1609","156"
"9.10","2075","851","1084","54"
"10.10","1124","544","352","132"
"11.10","789","448","266","0"
"12.10","1372","561","1351","406"
"13.10","1238","359","548","29"
"14.10","1210","570","971","38"
"15.10","1403","540","646","126"
"16.10","1149","521","612","46"
"17.10","685","571","485","115"
"18.10","645","527","167","11"
"19.10","1078","473","617","384"
"20.10","981","318","434","20"
"21.10","1009","640","538","31"
"22.10","992","457","395","14"
"23.10","849","561","701","24"
"24.10","720","456","118","119"
"25.10","619","475","93","0"
"26.10","1525","413","433","328"
"27.10","1788","420","844","101"
"28.10","1276","567","197","68"
"29.10","1797","465","230","8"
"30.10","1422","397","265","65"
"31.10","789","468","170","30"
"1.11","751","456","64","13"
"2.11","1339","227","225","298"
"3.11","1315","560","303","19"
"4.11","1172","465","451","0"
"5.11","1063","485","233"
"6.11","989","264","467","29"
"7.11","530","482","78","3"
"8.11","419","348","88","15"
"9.11","919","329","77","269"
"10.11","886","304","126","19"
"11.11","776","280","78","11"
"12.11","708","406","105","9"
"13.11","920","171","234","27"
"14.11","393","448","37","1"
"15.11","335","274","47","1"
"16.11","879","301","124","293"
"17.11","812","226","131","18"
"18.11","735","205","19","16"
"19.11","605","299","17","45"
"20.11","661","229","89","15"
"21.11","324","444","8","2"
"22.11","259","258","11","1"
"23.11","650","253","10","298"
"24.11","689","157","11","47"
"25.11","653","204","24","29"
"26.11","853","240","24","22"
"27.11","956","365","32","59"
"28.11","524","396","45","6"
"29.11","510","186","32","1"
"30.11","1133","357","129","301"
"1.12","1166","96","145","15"
"2.12","1110","343","174","34"
"3.12","803","339","65","4"
"4.12","800","301","143","21"
